iter	MultiClass
0	2.048864656
1	1.929405298
2	1.847437814
3	1.760595773
4	1.717102757
5	1.667861152
6	1.6109501
7	1.544634877
8	1.48671957
9	1.451672743
10	1.407451542
11	1.373791701
12	1.346242835
13	1.311501964
14	1.286302409
15	1.253881756
16	1.227754485
17	1.207189723
18	1.183877947
19	1.162733048
20	1.137544501
21	1.118407729
22	1.106711042
23	1.089482076
24	1.076375613
25	1.066044383
26	1.053467373
27	1.039734141
28	1.02188177
29	1.008568783
30	0.9966718989
31	0.9840838556
32	0.9753050547
33	0.9633436368
34	0.9534184481
35	0.942183413
36	0.9297095402
37	0.9197095549
38	0.9085873598
39	0.8989676591
40	0.8853659381
41	0.874554884
42	0.8627656711
43	0.8539373363
44	0.8449055154
45	0.8370666822
46	0.8284376047
47	0.8240764544
48	0.8149012522
49	0.8074385875
50	0.7981778618
51	0.7919987354
52	0.7831791244
53	0.776032484
54	0.7693495317
55	0.7622413144
56	0.7573086606
57	0.7513074377
58	0.7469943973
59	0.7410032411
60	0.7344606167
61	0.7281637946
62	0.7232014505
63	0.7171780347
64	0.7116323791
65	0.7056605382
66	0.6996480411
67	0.6937859658
68	0.6899488927
69	0.6853718284
70	0.6789542253
71	0.6750758183
72	0.670296137
73	0.665766998
74	0.6602740793
75	0.6573053479
76	0.6525552121
77	0.6468664313
78	0.6410062143
79	0.6355442039
80	0.6300379619
81	0.624831957
82	0.6204511811
83	0.6158194712
84	0.6116554144
85	0.6062737062
86	0.6023832245
87	0.5984441822
88	0.5952492054
89	0.5922886174
90	0.5883187636
91	0.5844602952
92	0.5815844138
93	0.5773376663
94	0.573827786
95	0.5706362872
96	0.5670058764
97	0.5634130733
98	0.5601335794
99	0.5563554183
100	0.5530983778
101	0.5497922304
102	0.5452947885
103	0.5421209958
104	0.5382781786
105	0.5345479141
106	0.5304383043
107	0.5279174817
108	0.5235669165
109	0.5201852609
110	0.5176865645
111	0.5144936494
112	0.5118097271
113	0.5081223458
114	0.5038056755
115	0.5008515073
116	0.497478116
117	0.4947986085
118	0.4921807982
119	0.4896259232
120	0.4873898443
121	0.4839657118
122	0.4811063434
123	0.4785168681
124	0.4765358744
125	0.4744277123
126	0.4727319209
127	0.4711194034
128	0.4672605358
129	0.4648586051
130	0.4622115559
131	0.4612989588
132	0.459590824
133	0.4565542603
134	0.4532985865
135	0.4511081425
136	0.4491203413
137	0.4455021008
138	0.4431612178
139	0.4415726181
140	0.4393020556
141	0.4367537864
142	0.4347348333
143	0.4321717175
144	0.4301433825
145	0.4273591667
146	0.4253157979
147	0.4231379593
148	0.4202580469
149	0.4187397918
150	0.4159937433
151	0.4139788276
152	0.411291137
153	0.4095098065
154	0.407685763
155	0.4067063762
156	0.4039421597
157	0.4017472184
158	0.3997993963
159	0.3974853073
160	0.3960254457
161	0.3946788291
162	0.3917761529
163	0.3890021253
164	0.3872243074
165	0.384632788
166	0.3828474227
167	0.3817993768
168	0.3792159124
169	0.377063722
170	0.3763150799
171	0.3751803285
172	0.3730167105
173	0.3705930808
174	0.3692631239
175	0.3669981439
176	0.3653273862
177	0.3622032446
178	0.3600852034
179	0.3583700735
180	0.3566228252
181	0.3545999094
182	0.3527834971
183	0.3506379648
184	0.3489699713
185	0.3474670123
186	0.3454137847
187	0.3441634552
188	0.3435043963
189	0.3412340089
190	0.3394484495
191	0.3380596331
192	0.3360956991
193	0.3339752358
194	0.3325339626
195	0.3313033684
196	0.3290146023
197	0.3276983193
198	0.3259987096
199	0.3240357687
200	0.3219473943
201	0.3198346002
202	0.3186648692
203	0.3169644697
204	0.3154536375
205	0.3137291044
206	0.312044975
207	0.3107782137
208	0.3102315104
209	0.3086701979
210	0.3068287601
211	0.3051943978
212	0.3037365554
213	0.3020400843
214	0.3003504724
215	0.2986371427
216	0.2972472178
217	0.2961210082
218	0.2955312171
219	0.2940754035
220	0.292444625
221	0.291500822
222	0.2902987286
223	0.2889534594
224	0.2881210585
225	0.2866045621
226	0.2854019927
227	0.2840595029
228	0.2824244683
229	0.2809974694
230	0.2798300735
231	0.2781697136
232	0.2765330392
233	0.2748174686
234	0.2733828296
235	0.2725592414
236	0.2717491181
237	0.270750431
238	0.2691791523
239	0.2680946244
240	0.2668231623
241	0.265524782
242	0.2646528168
243	0.2638422199
244	0.2626211184
245	0.2616637545
246	0.2603814447
247	0.2593937875
248	0.2579536521
249	0.2565110237
250	0.2556432309
251	0.2550315915
252	0.2540446745
253	0.2532807036
254	0.2527688349
255	0.2516591942
256	0.2505556377
257	0.2495840852
258	0.248415222
259	0.2475519779
260	0.246295654
261	0.2456831621
262	0.2446394086
263	0.243652762
264	0.2422967776
265	0.2413277814
266	0.2405464819
267	0.2395534628
268	0.2388078249
269	0.238069723
270	0.2369118994
271	0.235654932
272	0.2344448566
273	0.2333924497
274	0.2324609182
275	0.2317324504
276	0.2306052613
277	0.2299960223
278	0.2287609367
279	0.227903499
280	0.2268934671
281	0.2259893789
282	0.2250124274
283	0.2238134979
284	0.2233481741
285	0.2223213341
286	0.2215330081
287	0.2204750215
288	0.2195959332
289	0.2184069929
290	0.2173959726
291	0.2165054991
292	0.215729231
293	0.2150986929
294	0.214214153
295	0.2131013911
296	0.2123533164
297	0.2118390656
298	0.2110153107
299	0.2099342872
300	0.2093347513
301	0.2087300227
302	0.2079329882
303	0.2066960902
304	0.2058509903
305	0.2047859027
306	0.2039124858
307	0.2036125097
308	0.2029879394
309	0.202496496
310	0.2016092889
311	0.2011774906
312	0.2006663113
313	0.1996994482
314	0.1989168221
315	0.1980412285
316	0.1974503345
317	0.1966090203
318	0.196079535
319	0.1950421724
320	0.1947022465
321	0.194017747
322	0.1933360655
323	0.1930788982
324	0.1926537372
325	0.1919461275
326	0.1910632443
327	0.1902920023
328	0.1897764076
329	0.1889583581
330	0.1883035038
331	0.1873174094
332	0.1865092613
333	0.1857053291
334	0.185124751
335	0.1845193376
336	0.1837676798
337	0.1834240053
338	0.182620969
339	0.1817426972
340	0.1809932865
341	0.1805051521
342	0.1797539375
343	0.1790803675
344	0.178594379
345	0.1780879272
346	0.1773759041
347	0.1770644902
348	0.1767737413
349	0.17626462
350	0.1756846234
351	0.1753864962
352	0.1750751503
353	0.1745678177
354	0.1740019485
355	0.1734914284
356	0.172726966
357	0.1722433852
358	0.1715046572
359	0.1710628729
360	0.1705549291
361	0.1699530252
362	0.1695202136
363	0.1690064095
364	0.1687267921
365	0.1683128282
366	0.1678834029
367	0.1672575035
368	0.1665343232
369	0.1660381866
370	0.1658108648
371	0.1651889743
372	0.1647237763
373	0.1641879183
374	0.1634441147
375	0.1628151548
376	0.1625212962
377	0.1620298502
378	0.1614673046
379	0.1610377845
380	0.1604484187
381	0.1599086741
382	0.1591657745
383	0.158936525
384	0.1584478912
385	0.1578931509
386	0.1574463294
387	0.157027309
388	0.1567015385
389	0.1560139682
390	0.1553560481
391	0.15463853
392	0.1541212916
393	0.1536250937
394	0.153095267
395	0.1525901626
396	0.15199168
397	0.1514043677
398	0.1508889679
399	0.1504122847
400	0.1499146337
401	0.1495303344
402	0.1489137684
403	0.1484212129
404	0.1481064378
405	0.1477996162
406	0.1472925874
407	0.1468736358
408	0.1464003056
409	0.1462600685
410	0.145870966
411	0.1455347175
412	0.1451132926
413	0.1447302271
414	0.1444372246
415	0.1440011045
416	0.1435549754
417	0.1431382007
418	0.1425563203
419	0.1421329365
420	0.1416447785
421	0.1411667259
422	0.1406723961
