iter	Passed	Remaining
0	4	4969
1	6	3111
2	7	2504
3	8	2173
4	9	1968
5	11	1882
6	12	1840
7	14	1806
8	15	1732
9	16	1672
10	18	1631
11	19	1597
12	20	1569
13	22	1555
14	23	1556
15	24	1535
16	26	1510
17	27	1490
18	28	1479
19	30	1474
20	31	1469
21	33	1468
22	34	1477
23	36	1470
24	37	1456
25	38	1445
26	39	1438
27	41	1434
28	42	1429
29	44	1424
30	45	1414
31	46	1405
32	47	1400
33	49	1398
34	50	1389
35	51	1389
36	53	1385
37	54	1383
38	56	1380
39	57	1373
40	58	1369
41	59	1362
42	61	1363
43	62	1365
44	64	1365
45	65	1361
46	66	1357
47	68	1353
48	69	1350
49	70	1344
50	72	1346
51	74	1350
52	75	1349
53	76	1346
54	78	1347
55	79	1346
56	81	1347
57	82	1344
58	84	1340
59	85	1338
60	86	1333
61	87	1330
62	89	1326
63	90	1323
64	91	1320
65	93	1316
66	94	1314
67	95	1309
68	96	1307
69	98	1304
70	99	1304
71	101	1304
72	103	1307
73	104	1304
74	105	1301
75	106	1300
76	108	1299
77	109	1299
78	111	1296
79	112	1294
80	113	1292
81	115	1289
82	116	1286
83	117	1284
84	119	1281
85	120	1279
86	121	1276
87	123	1274
88	124	1272
89	125	1269
90	126	1267
91	128	1264
92	129	1263
93	130	1262
94	132	1260
95	133	1258
96	134	1256
97	136	1253
98	137	1250
99	138	1248
100	140	1247
101	141	1245
102	142	1244
103	144	1243
104	145	1243
105	147	1241
106	148	1238
107	149	1237
108	151	1239
109	152	1237
110	154	1235
111	155	1233
112	156	1231
113	158	1230
114	159	1230
115	161	1233
116	163	1231
117	164	1228
118	165	1226
119	167	1224
120	168	1222
121	169	1220
122	170	1218
123	172	1215
124	173	1213
125	174	1210
126	175	1208
127	177	1206
128	178	1204
129	179	1202
130	181	1201
131	182	1201
132	184	1200
133	185	1198
134	186	1197
135	188	1194
136	189	1192
137	190	1192
138	192	1192
139	193	1190
140	195	1189
141	196	1189
142	198	1189
143	200	1190
144	201	1188
145	203	1190
146	205	1193
147	207	1194
148	209	1195
149	210	1195
150	212	1196
151	214	1198
152	216	1198
153	218	1199
154	220	1203
155	222	1201
156	223	1199
157	224	1197
158	226	1196
159	227	1195
160	228	1192
161	230	1191
162	231	1189
163	232	1186
164	233	1183
165	235	1182
166	236	1181
167	238	1179
168	239	1177
169	240	1176
170	242	1174
171	243	1171
172	244	1170
173	246	1169
174	247	1167
175	249	1166
176	250	1164
177	251	1162
178	253	1161
179	254	1158
180	255	1156
181	257	1155
182	258	1155
183	260	1153
184	261	1151
185	262	1150
186	264	1148
187	265	1146
188	266	1144
189	267	1142
190	269	1141
191	270	1140
192	272	1138
193	273	1136
194	274	1135
195	276	1132
196	277	1130
197	278	1129
198	280	1127
199	281	1125
200	282	1123
201	284	1122
202	285	1120
203	286	1118
204	288	1117
205	289	1115
206	290	1113
207	291	1111
208	293	1110
209	294	1108
210	295	1106
211	297	1104
212	298	1102
213	299	1100
214	300	1098
215	302	1097
216	303	1095
217	305	1095
218	307	1096
219	308	1094
220	309	1092
221	311	1090
222	312	1088
223	313	1087
224	315	1087
225	317	1085
226	318	1084
227	319	1082
228	320	1080
229	322	1078
230	323	1076
231	324	1074
232	325	1072
233	327	1070
234	328	1068
235	329	1067
236	330	1065
237	332	1063
238	333	1061
239	334	1059
240	335	1057
241	337	1056
242	338	1053
243	339	1051
